sample,accession,lane
SMRU1611,ERS021121,6807_3#3
SMRU1612,ERS021122,6807_3#4
SMRU1613,ERS021123,6807_3#5
SMRU1614,ERS021124,6807_3#6
SMRU1615,ERS021125,6807_3#7
SMRU1616,ERS021126,6807_3#8
SMRU1617,ERS021127,6807_3#9
SMRU1618,ERS021128,6807_3#10
SMRU1619,ERS021129,6807_3#11
SMRU1620,ERS021130,6807_3#12
SMRU1621,ERS021131,6807_3#13
SMRU1623,ERS021133,6807_3#15
SMRU1624,ERS021134,6807_3#16
SMRU1625,ERS021135,6807_3#17
SMRU1626,ERS021136,6807_3#18
SMRU1627,ERS021137,6807_3#19
SMRU1628,ERS021138,6807_3#20
SMRU1629,ERS021139,6807_3#21
SMRU1630,ERS021140,6807_3#22
SMRU1633,ERS021143,6830_3#1
SMRU1634,ERS021144,6830_3#2
SMRU1636,ERS021146,6830_3#4
SMRU1637,ERS021147,6830_3#5
SMRU1638,ERS021148,6830_3#6
SMRU1639,ERS021149,6830_3#7
SMRU1640,ERS021150,6830_3#8
SMRU1645,ERS021155,6830_3#13
SMRU1646,ERS021156,6830_3#14
SMRU1647,ERS021157,6830_3#15
SMRU1648,ERS021158,6830_3#16
SMRU1649,ERS021159,6830_3#17
SMRU1652,ERS021162,6830_3#20
SMRU1653,ERS021163,6830_3#21
SMRU1655,ERS021165,6830_3#23
SMRU1322,ERS020832,6841_7#2
SMRU1323,ERS020833,6841_7#3
SMRU1324,ERS020834,6841_7#4
SMRU1326,ERS020836,6841_7#6
SMRU1327,ERS020837,6841_7#7
SMRU1329,ERS020839,6841_7#9
SMRU1330,ERS020840,6841_7#10
SMRU1331,ERS020841,6841_7#11
SMRU1332,ERS020842,6841_7#12
SMRU1333,ERS020843,6841_7#13
SMRU1334,ERS020844,6841_7#14
SMRU1335,ERS020845,6841_7#15
SMRU1336,ERS020846,6841_7#16
SMRU1337,ERS020847,6841_7#17
SMRU1338,ERS020848,6841_7#18
SMRU1339,ERS020849,6841_7#19
SMRU1340,ERS020850,6841_7#20
SMRU1341,ERS020851,6841_7#21
SMRU1342,ERS020852,6841_7#22
SMRU1343,ERS020853,6841_7#23
SMRU1344,ERS020854,6841_7#24
SMRU1729,ERS021239,6805_7#1
SMRU1730,ERS021240,6805_7#2
SMRU1731,ERS021241,6805_7#3
SMRU1732,ERS021242,6805_7#4
SMRU1733,ERS021243,6805_7#5
SMRU1734,ERS021244,6805_7#6
SMRU1736,ERS021246,6805_7#7
SMRU1738,ERS021248,6805_7#9
SMRU1739,ERS021249,6805_7#10
SMRU1740,ERS021250,6805_7#11
SMRU1741,ERS021251,6805_7#12
SMRU1742,ERS021252,6805_7#13
SMRU1743,ERS021253,6805_7#14
SMRU1744,ERS021254,6805_7#15
SMRU1745,ERS021255,6805_7#16
SMRU1746,ERS021256,6805_7#17
SMRU1747,ERS021257,6805_7#18
SMRU1748,ERS021258,6805_7#19
SMRU1749,ERS021259,6805_7#20
SMRU1750,ERS021260,6805_7#21
SMRU1752,ERS021262,6805_7#23
SMRU1853,ERS021363,6823_1#5
SMRU1855,ERS021365,6823_1#7
SMRU1859,ERS021369,6823_1#11
SMRU1860,ERS021370,6823_1#12
SMRU1861,ERS021371,6823_1#13
SMRU1862,ERS021372,6823_1#14
SMRU1863,ERS021373,6823_1#15
SMRU1864,ERS021374,6823_1#16
SMRU1865,ERS021375,6823_1#17
SMRU1866,ERS021376,6823_1#18
SMRU1867,ERS021377,6823_1#19
SMRU1868,ERS021378,6823_1#20
SMRU1869,ERS021379,6823_1#21
SMRU1870,ERS021380,6823_1#22
SMRU1871,ERS021381,6823_1#23
SMRU1873,ERS021383,6823_2#1
SMRU1874,ERS021384,6823_2#2
SMRU1875,ERS021385,6823_2#3
SMRU1876,ERS021386,6823_2#4
SMRU1877,ERS021387,6823_2#5
SMRU1878,ERS021388,6823_2#6
SMRU1880,ERS021390,6823_2#8
SMRU1881,ERS021391,6823_2#9
SMRU1882,ERS021392,6823_2#10
SMRU1883,ERS021393,6823_2#11
SMRU1884,ERS021394,6823_2#12
SMRU1885,ERS021395,6823_2#13
SMRU1887,ERS021397,6823_2#15
SMRU1889,ERS021399,6823_2#17
SMRU1890,ERS021400,6823_2#18
SMRU1891,ERS021401,6823_2#19
SMRU1892,ERS021402,6823_2#20
SMRU1893,ERS021403,6823_2#21
SMRU1894,ERS021404,6823_2#22
SMRU1895,ERS021405,6823_2#23
SMRU1896,ERS021406,6823_2#24
SMRU1897,ERS021407,6823_3#1
SMRU1899,ERS021409,6823_3#3
SMRU1900,ERS021410,6823_3#4
SMRU1901,ERS021411,6823_3#5
SMRU1903,ERS021413,6823_3#7
SMRU1904,ERS021414,6823_3#8
SMRU1905,ERS021415,6823_3#9
SMRU1906,ERS021416,6823_3#10
SMRU1907,ERS021417,6823_3#11
SMRU1908,ERS021418,6823_3#12
SMRU1909,ERS021419,6823_3#13
SMRU1910,ERS021420,6823_3#14
SMRU1911,ERS021421,6823_3#15
SMRU1912,ERS021422,6823_3#16
SMRU1913,ERS021423,6823_3#17
SMRU1914,ERS021424,6823_3#18
SMRU1916,ERS021426,6823_3#20
SMRU1918,ERS021428,6823_3#22
SMRU1919,ERS021429,6823_3#23
SMRU1920,ERS021430,6823_3#24
SMRU1922,ERS021432,6823_4#2
SMRU1925,ERS021435,6823_4#5
SMRU1926,ERS021436,6823_4#6
SMRU1927,ERS021437,6823_4#7
SMRU1928,ERS021438,6823_4#8
SMRU1929,ERS021439,6823_4#9
SMRU1930,ERS021440,6823_4#10
SMRU1932,ERS021442,6823_4#12
SMRU1933,ERS021443,6823_4#13
SMRU1934,ERS021444,6823_4#14
SMRU1936,ERS021446,6823_4#16
SMRU1938,ERS021448,6823_4#18
SMRU1941,ERS021451,6823_4#21
SMRU1942,ERS021452,6823_4#22
SMRU1943,ERS021453,6823_4#23
SMRU1944,ERS021454,6823_4#24
SMRU1945,ERS021455,6823_5#1
SMRU1947,ERS021457,6823_5#3
SMRU1948,ERS021458,6823_5#4
SMRU1949,ERS021459,6823_5#5
SMRU1950,ERS021460,6823_5#6
SMRU1951,ERS021461,6823_5#7
SMRU1952,ERS021462,6823_5#8
SMRU1953,ERS021463,6823_5#9
SMRU1954,ERS021464,6823_5#10
SMRU1955,ERS021465,6823_5#11
SMRU1957,ERS021467,6823_5#13
SMRU1958,ERS021468,6823_5#14
SMRU1959,ERS021469,6823_5#15
SMRU1961,ERS021471,6823_5#17
SMRU1962,ERS021472,6823_5#18
SMRU1963,ERS021473,6823_5#19
SMRU1964,ERS021474,6823_5#20
SMRU1965,ERS021475,6823_5#21
SMRU1966,ERS021476,6823_5#22
SMRU1967,ERS021477,6823_5#23
SMRU1968,ERS021478,6823_5#24
SMRU1969,ERS021479,6823_6#1
SMRU1971,ERS021481,6823_6#3
SMRU1972,ERS021482,6823_6#4
SMRU1975,ERS021485,6823_6#7
SMRU1977,ERS021487,6823_6#9
SMRU1978,ERS021488,6823_6#10
SMRU1979,ERS021489,6823_6#11
SMRU1980,ERS021490,6823_6#12
SMRU1981,ERS021491,6823_6#13
SMRU1982,ERS021492,6823_6#14
SMRU1983,ERS021493,6823_6#15
SMRU1985,ERS021495,6823_6#17
SMRU1986,ERS021496,6823_6#18
SMRU1987,ERS021497,6823_6#19
SMRU1988,ERS021498,6823_6#20
SMRU1989,ERS021499,6823_6#21
SMRU1990,ERS021500,6823_6#22
SMRU1992,ERS021502,6823_6#24
SMRU1993,ERS021503,6823_7#1
SMRU1994,ERS021504,6823_7#2
SMRU1995,ERS021505,6823_7#3
SMRU1996,ERS021506,6823_7#4
SMRU1997,ERS021507,6823_7#5
SMRU1998,ERS021508,6823_7#6
SMRU1999,ERS021509,6823_7#7
SMRU2000,ERS021510,6823_7#8
SMRU2001,ERS021511,6823_7#9
SMRU2002,ERS021512,6823_7#10
SMRU2004,ERS021514,6823_7#12
SMRU2005,ERS021515,6823_7#13
SMRU2006,ERS021516,6823_7#14
SMRU2007,ERS021517,6823_7#15
SMRU2008,ERS021518,6823_7#16
SMRU2009,ERS021519,6823_7#17
SMRU2010,ERS021520,6823_7#18
SMRU2011,ERS021521,6823_7#19
SMRU2012,ERS021522,6823_7#20
SMRU2013,ERS021523,6823_7#21
SMRU2015,ERS021525,6823_7#23
SMRU2016,ERS021526,6823_7#24
SMRU1753,ERS021263,6840_1#1
SMRU1754,ERS021264,6840_1#2
SMRU1755,ERS021265,6840_1#3
SMRU1756,ERS021266,6840_1#4
SMRU1757,ERS021267,6840_1#5
SMRU1759,ERS021269,6840_1#7
SMRU1760,ERS021270,6840_1#8
SMRU1761,ERS021271,6840_1#9
SMRU1762,ERS021272,6840_1#10
SMRU1763,ERS021273,6840_1#11
SMRU1764,ERS021274,6840_1#12
SMRU1765,ERS021275,6840_1#13
SMRU1766,ERS021276,6840_1#14
SMRU1767,ERS021277,6840_1#15
SMRU1768,ERS021278,6840_1#16
SMRU1769,ERS021279,6840_1#17
SMRU1771,ERS021281,6840_1#19
SMRU1772,ERS021282,6840_1#20
SMRU1773,ERS021283,6840_1#21
SMRU1774,ERS021284,6840_1#22
SMRU1801,ERS021311,6840_3#1
SMRU1802,ERS021312,6840_3#2
SMRU1803,ERS021313,6840_3#3
SMRU1804,ERS021314,6840_3#4
SMRU1805,ERS021315,6840_3#5
SMRU1807,ERS021317,6840_3#7
SMRU1808,ERS021318,6840_3#8
SMRU1809,ERS021319,6840_3#9
SMRU1810,ERS021320,6840_3#10
SMRU1812,ERS021322,6840_3#12
SMRU1813,ERS021323,6840_3#13
SMRU1814,ERS021324,6840_3#14
SMRU1815,ERS021325,6840_3#15
SMRU1816,ERS021326,6840_3#16
SMRU1817,ERS021327,6840_3#17
SMRU1818,ERS021328,6840_3#18
SMRU1819,ERS021329,6840_3#19
SMRU1820,ERS021330,6840_3#20
SMRU1821,ERS021331,6840_3#21
SMRU1822,ERS021332,6840_3#22
SMRU1823,ERS021333,6840_3#23
SMRU1824,ERS021334,6840_3#24
SMRU1777,ERS021287,6871_1#1
SMRU1778,ERS021288,6871_1#2
SMRU1779,ERS021289,6871_1#3
SMRU1780,ERS021290,6871_1#4
SMRU1781,ERS021291,6871_1#5
SMRU1782,ERS021292,6871_1#6
SMRU1784,ERS021294,6871_1#8
SMRU1785,ERS021295,6871_1#9
SMRU1786,ERS021296,6871_1#10
SMRU1787,ERS021297,6871_1#11
SMRU1788,ERS021298,6871_1#12
SMRU1789,ERS021299,6871_1#13
SMRU1791,ERS021301,6871_1#15
SMRU1792,ERS021302,6871_1#16
SMRU1793,ERS021303,6871_1#17
SMRU1795,ERS021305,6871_1#19
SMRU1796,ERS021306,6871_1#20
SMRU1798,ERS021308,6871_1#22
SMRU1825,ERS021335,6871_2#1
SMRU1827,ERS021337,6871_2#3
SMRU1828,ERS021338,6871_2#4
SMRU1829,ERS021339,6871_2#5
SMRU1831,ERS021341,6871_2#7
SMRU1832,ERS021342,6871_2#8
SMRU1837,ERS021347,6871_2#13
SMRU1838,ERS021348,6871_2#14
SMRU2017,ERS021527,6899_4#1
SMRU2018,ERS021528,6899_4#2
SMRU2019,ERS021529,6899_4#3
SMRU2020,ERS021530,6899_4#4
SMRU2021,ERS021531,6899_4#5
SMRU2022,ERS021532,6899_4#6
SMRU2023,ERS021533,6899_4#7
SMRU2024,ERS021534,6899_4#8
SMRU2025,ERS021535,6899_4#9
SMRU2028,ERS021538,6899_4#12
SMRU2029,ERS021539,6899_4#13
SMRU2032,ERS021542,6899_4#16
SMRU2033,ERS021543,6899_4#17
SMRU2034,ERS021544,6899_4#18
SMRU2035,ERS021545,6899_4#19
SMRU2036,ERS021546,6899_4#20
SMRU2038,ERS021548,6899_4#22
SMRU2039,ERS021549,6899_4#23
SMRU2040,ERS021550,6899_4#24
SMRU2041,ERS021551,6899_5#1
SMRU2042,ERS021552,6899_5#2
SMRU2044,ERS021554,6899_5#4
SMRU2046,ERS021556,6899_5#6
SMRU2047,ERS021557,6899_5#7
SMRU2048,ERS021558,6899_5#8
SMRU2051,ERS021561,6899_5#11
SMRU2052,ERS021562,6899_5#12
SMRU2053,ERS021563,6899_5#13
SMRU2054,ERS021564,6899_5#14
SMRU2055,ERS021565,6899_5#15
SMRU2056,ERS021566,6899_5#16
SMRU2057,ERS021567,6899_5#17
SMRU2058,ERS021568,6899_5#18
SMRU2059,ERS021569,6899_5#19
SMRU2060,ERS021570,6899_5#20
SMRU2061,ERS021571,6899_5#21
SMRU2062,ERS021572,6899_5#22
SMRU2063,ERS021573,6899_5#23
SMRU2064,ERS021574,6899_5#24
SMRU2066,ERS021576,6899_6#2
SMRU2067,ERS021577,6899_6#3
SMRU2068,ERS021578,6899_6#4
SMRU2069,ERS021579,6899_6#5
SMRU2070,ERS021580,6899_6#6
SMRU2071,ERS021581,6899_6#7
SMRU2072,ERS021582,6899_6#8
SMRU2073,ERS021583,6899_6#9
SMRU2075,ERS021585,6899_6#11
SMRU2076,ERS021586,6899_6#12
SMRU2077,ERS021587,6899_6#13
SMRU2078,ERS021588,6899_6#14
SMRU2079,ERS021589,6899_6#15
SMRU2080,ERS021590,6899_6#16
SMRU2081,ERS021591,6899_6#17
SMRU2082,ERS021592,6899_6#18
SMRU2084,ERS021594,6899_6#20
SMRU2085,ERS021595,6899_6#21
SMRU2086,ERS021596,6899_6#22
SMRU2089,ERS021599,6899_7#1
SMRU2090,ERS021600,6899_7#2
SMRU2091,ERS021601,6899_7#3
SMRU2092,ERS021602,6899_7#4
SMRU2093,ERS021603,6899_7#5
SMRU2095,ERS021605,6899_7#7
SMRU2096,ERS021606,6899_7#8
SMRU2097,ERS021607,6899_7#9
SMRU2098,ERS021608,6899_7#10
SMRU2100,ERS021610,6899_7#12
SMRU2101,ERS021611,6899_7#13
SMRU2102,ERS021612,6899_7#14
SMRU2103,ERS021613,6899_7#15
SMRU2105,ERS021615,6899_7#17
SMRU2107,ERS021617,6899_7#19
SMRU2108,ERS021618,6899_7#20
SMRU2109,ERS021619,6899_7#21
SMRU2111,ERS021621,6899_7#23
SMRU2112,ERS021622,6899_7#24
SMRU2113,ERS021623,6925_3#1
SMRU2114,ERS021624,6925_3#2
SMRU2115,ERS021625,6925_3#3
SMRU2116,ERS021626,6925_3#4
SMRU2117,ERS021627,6925_3#5
SMRU2120,ERS021630,6925_3#8
SMRU2121,ERS021631,6925_3#9
SMRU2123,ERS021633,6925_3#11
SMRU2125,ERS021635,6925_3#13
SMRU2126,ERS021636,6925_3#14
SMRU2127,ERS021637,6925_3#15
SMRU2128,ERS021638,6925_3#16
SMRU2129,ERS021639,6925_3#17
SMRU2130,ERS021640,6925_3#18
SMRU2131,ERS021641,6925_3#19
SMRU2132,ERS021642,6925_3#20
SMRU2133,ERS021643,6925_3#21
SMRU2135,ERS021645,6925_3#23
SMRU2136,ERS021646,6925_3#24
SMRU2137,ERS021647,6925_4#1
SMRU2138,ERS021648,6925_4#2
SMRU2140,ERS021650,6925_4#4
SMRU2141,ERS021651,6925_4#5
SMRU2142,ERS021652,6925_4#6
SMRU2143,ERS021653,6925_4#7
SMRU2145,ERS021655,6925_4#9
SMRU2146,ERS021656,6925_4#10
SMRU2147,ERS021657,6925_4#11
SMRU2148,ERS021658,6925_4#12
SMRU2150,ERS021660,6925_4#14
SMRU2151,ERS021661,6925_4#15
SMRU2152,ERS021662,6925_4#16
SMRU2153,ERS021663,6925_4#17
SMRU2154,ERS021664,6925_4#18
SMRU2155,ERS021665,6925_4#19
SMRU2156,ERS021666,6925_4#20
SMRU2157,ERS021667,6925_4#21
SMRU2158,ERS021668,6925_4#22
SMRU2159,ERS021669,6925_4#23
SMRU2161,ERS021671,6925_5#1
SMRU2162,ERS021672,6925_5#2
SMRU2163,ERS021673,6925_5#3
SMRU2164,ERS021674,6925_5#4
SMRU2165,ERS021675,6925_5#5
SMRU2166,ERS021676,6925_5#6
SMRU2169,ERS021679,6925_5#9
SMRU2170,ERS021680,6925_5#10
SMRU2171,ERS021681,6925_5#11
SMRU2172,ERS021682,6925_5#12
SMRU2173,ERS021683,6925_5#13
SMRU2174,ERS021684,6925_5#14
SMRU2176,ERS021686,6925_5#16
SMRU2177,ERS021687,6925_5#17
SMRU2178,ERS021688,6925_5#18
SMRU2179,ERS021689,6925_5#19
SMRU2180,ERS021690,6925_5#20
SMRU2181,ERS021691,6925_5#21
SMRU2182,ERS021692,6925_5#22
SMRU2183,ERS021693,6925_5#23
SMRU2184,ERS021694,6925_5#24
SMRU2185,ERS021695,6925_6#1
SMRU2186,ERS021696,6925_6#2
SMRU2187,ERS021697,6925_6#3
SMRU2188,ERS021698,6925_6#4
SMRU2189,ERS021699,6925_6#5
SMRU2190,ERS021700,6925_6#6
SMRU2191,ERS021701,6925_6#7
SMRU2192,ERS021702,6925_6#8
SMRU2193,ERS021703,6925_6#9
SMRU2194,ERS021704,6925_6#10
SMRU2195,ERS022710,6925_6#11
SMRU2196,ERS021705,6925_6#12
SMRU2197,ERS021706,6925_6#13
SMRU2198,ERS021707,6925_6#14
SMRU2199,ERS021708,6925_6#15
SMRU2201,ERS021710,6925_6#17
SMRU2202,ERS021711,6925_6#18
SMRU2203,ERS021712,6925_6#19
SMRU2204,ERS021713,6925_6#20
SMRU2205,ERS021714,6925_6#21
SMRU2206,ERS021715,6925_6#22
SMRU2207,ERS021716,6925_6#23
SMRU2208,ERS021717,6925_6#24
SMRU2209,ERS021718,6983_2#1
SMRU2210,ERS021719,6983_2#2
SMRU2211,ERS021720,6983_2#3
SMRU2213,ERS021722,6983_2#5
SMRU2214,ERS021723,6983_2#6
SMRU2216,ERS021725,6983_2#8
SMRU2217,ERS021726,6983_2#9
SMRU2218,ERS021727,6983_2#10
SMRU2219,ERS021728,6983_2#11
SMRU2220,ERS021729,6983_2#12
SMRU2221,ERS021730,6983_2#13
SMRU2222,ERS021731,6983_2#14
SMRU2223,ERS021732,6983_2#15
SMRU2225,ERS021734,6983_2#17
SMRU2226,ERS021735,6983_2#18
SMRU2227,ERS021736,6983_2#19
SMRU2228,ERS021737,6983_2#20
SMRU2229,ERS021738,6983_2#21
SMRU2230,ERS021739,6983_2#22
SMRU2231,ERS021740,6983_2#23
SMRU2232,ERS021741,6983_2#24
SMRU2257,ERS021766,6983_3#49
SMRU2259,ERS021768,6983_3#51
SMRU2260,ERS021769,6983_3#52
SMRU2261,ERS021770,6983_3#53
SMRU2262,ERS021771,6983_3#54
SMRU2264,ERS021773,6983_3#56
SMRU2265,ERS021774,6983_3#57
SMRU2266,ERS021775,6983_3#58
SMRU2267,ERS021776,6983_3#59
SMRU2268,ERS021777,6983_3#60
SMRU2269,ERS021778,6983_3#61
SMRU2270,ERS021779,6983_3#62
SMRU2271,ERS021780,6983_3#63
SMRU2272,ERS021781,6983_3#64
SMRU2273,ERS021782,6983_3#65
SMRU2274,ERS021783,6983_3#66
SMRU2275,ERS021784,6983_3#67
SMRU2276,ERS021785,6983_3#68
SMRU2277,ERS021786,6983_3#69
SMRU2278,ERS021787,6983_3#70
SMRU2280,ERS021789,6983_3#72
SMRU2281,ERS021790,6983_4#73
SMRU2282,ERS021791,6983_4#74
SMRU2283,ERS021792,6983_4#75
SMRU2284,ERS021793,6983_4#76
SMRU2285,ERS021794,6983_4#77
SMRU2286,ERS021795,6983_4#78
SMRU2287,ERS021796,6983_4#79
SMRU2288,ERS021797,6983_4#80
SMRU2289,ERS021798,6983_4#81
SMRU2290,ERS021799,6983_4#82
SMRU2291,ERS021800,6983_4#83
SMRU2293,ERS021802,6983_4#85
SMRU2294,ERS021803,6983_4#86
SMRU2295,ERS021804,6983_4#87
SMRU2296,ERS021805,6983_4#88
SMRU2297,ERS021806,6983_4#89
SMRU2298,ERS021807,6983_4#90
SMRU2299,ERS021808,6983_4#91
SMRU2300,ERS021809,6983_4#92
SMRU2301,ERS021810,6983_4#93
SMRU2302,ERS021811,6983_4#94
SMRU2303,ERS021812,6983_4#95
SMRU2304,ERS021813,6983_4#96
SMRU2233,ERS021742,7038_8#25
SMRU2234,ERS021743,7038_8#26
SMRU2235,ERS021744,7038_8#27
SMRU2237,ERS021746,7038_8#29
SMRU2239,ERS021748,7038_8#31
SMRU2240,ERS021749,7038_8#32
SMRU2241,ERS021750,7038_8#33
SMRU2244,ERS021753,7038_8#36
SMRU2246,ERS021755,7038_8#38
SMRU2247,ERS021756,7038_8#39
SMRU2249,ERS021758,7038_8#41
SMRU2250,ERS021759,7038_8#42
SMRU2251,ERS021760,7038_8#43
SMRU2255,ERS021764,7038_8#47
SMRU2256,ERS021765,7038_8#48
SMRU2498,ERS022008,6925_7#2
SMRU2499,ERS022009,6925_7#3
SMRU2500,ERS022010,6925_7#4
SMRU2501,ERS022011,6925_7#5
SMRU2502,ERS022012,6925_7#6
SMRU2503,ERS022013,6925_7#7
SMRU2504,ERS022014,6925_7#8
SMRU2505,ERS022015,6925_7#9
SMRU2506,ERS022016,6925_7#10
SMRU2507,ERS022017,6925_7#11
SMRU2508,ERS022018,6925_7#12
SMRU2509,ERS022019,6925_7#13
SMRU2510,ERS022020,6925_7#14
SMRU2511,ERS022021,6925_7#15
SMRU2512,ERS022022,6925_7#16
SMRU2514,ERS022024,6925_7#18
SMRU2515,ERS022025,6925_7#19
SMRU2516,ERS022026,6925_7#20
SMRU2517,ERS022027,6925_7#21
SMRU2520,ERS022030,6925_7#24
SMRU2521,ERS022031,6925_8#1
SMRU2522,ERS022032,6925_8#2
SMRU2523,ERS022033,6925_8#3
SMRU2524,ERS022034,6925_8#4
SMRU2525,ERS022035,6925_8#5
SMRU2526,ERS022036,6925_8#6
SMRU2527,ERS022037,6925_8#7
SMRU2529,ERS022039,6925_8#9
SMRU2530,ERS022040,6925_8#10
SMRU2531,ERS022041,6925_8#11
SMRU2532,ERS022042,6925_8#12
SMRU2533,ERS022043,6925_8#13
SMRU2534,ERS022044,6925_8#14
SMRU2536,ERS022046,6925_8#16
SMRU2537,ERS022047,6925_8#17
SMRU2538,ERS022048,6925_8#18
SMRU2540,ERS022050,6925_8#20
SMRU2542,ERS022052,6925_8#22
SMRU2543,ERS022053,6925_8#23
SMRU2544,ERS022054,6925_8#24
SMRU2641,ERS022151,6938_5#1
SMRU2642,ERS022152,6938_5#2
SMRU2644,ERS022154,6938_5#4
SMRU2645,ERS022155,6938_5#5
SMRU2646,ERS022156,6938_5#6
SMRU2648,ERS022158,6938_5#8
SMRU2649,ERS022159,6938_5#9
SMRU2650,ERS022160,6938_5#10
SMRU2651,ERS022161,6938_5#11
SMRU2652,ERS022162,6938_5#12
SMRU2653,ERS022163,6938_5#13
SMRU2654,ERS022164,6938_5#14
SMRU2655,ERS022165,6938_5#15
SMRU2656,ERS022166,6938_5#16
SMRU2657,ERS022167,6938_5#17
SMRU2658,ERS022168,6938_5#18
SMRU2659,ERS022169,6938_5#19
SMRU2661,ERS022171,6938_5#21
SMRU2662,ERS022172,6938_5#22
SMRU2663,ERS022173,6938_5#23
SMRU2664,ERS022174,6938_5#24
SMRU2665,ERS022175,6938_6#1
SMRU2666,ERS022176,6938_6#2
SMRU2667,ERS022177,6938_6#3
SMRU2670,ERS022180,6938_6#6
SMRU2672,ERS022182,6938_6#8
SMRU2673,ERS022183,6938_6#9
SMRU2676,ERS022186,6938_6#12
SMRU2677,ERS022187,6938_6#13
SMRU2678,ERS022188,6938_6#14
SMRU2679,ERS022189,6938_6#15
SMRU2680,ERS022190,6938_6#16
SMRU2681,ERS022191,6938_6#17
SMRU2684,ERS022194,6938_6#20
SMRU2685,ERS022195,6938_6#21
SMRU2688,ERS022198,6938_6#24
SMRU2690,ERS022200,6938_7#2
SMRU2691,ERS022201,6938_7#3
SMRU2692,ERS022202,6938_7#4
SMRU2693,ERS022203,6938_7#5
SMRU2694,ERS022204,6938_7#6
SMRU2695,ERS022205,6938_7#7
SMRU2696,ERS022206,6938_7#8
SMRU2697,ERS022207,6938_7#9
SMRU2698,ERS022208,6938_7#10
SMRU2699,ERS022209,6938_7#11
SMRU2701,ERS022211,6938_7#13
SMRU2704,ERS022214,6938_7#16
SMRU2708,ERS022218,6938_7#20
SMRU2709,ERS022219,6938_7#21
SMRU2710,ERS022220,6938_7#22
SMRU2711,ERS022221,6938_7#23
SMRU2713,ERS022223,6938_8#1
SMRU2714,ERS022224,6938_8#2
SMRU2715,ERS022225,6938_8#3
SMRU2716,ERS022226,6938_8#4
SMRU2717,ERS022227,6938_8#5
SMRU2718,ERS022228,6938_8#6
SMRU2719,ERS022229,6938_8#7
SMRU2723,ERS022233,6938_8#11
SMRU2724,ERS022234,6938_8#12
SMRU2725,ERS022235,6938_8#13
SMRU2726,ERS022236,6938_8#14
SMRU2727,ERS022237,6938_8#15
SMRU2728,ERS022238,6938_8#16
SMRU2729,ERS022239,6938_8#17
SMRU2730,ERS022240,6938_8#18
SMRU2733,ERS022243,6938_8#21
SMRU2734,ERS022244,6938_8#22
SMRU2735,ERS022245,6938_8#23
SMRU2402,ERS021911,6949_1#2
SMRU2403,ERS021912,6949_1#3
SMRU2404,ERS021913,6949_1#4
SMRU2405,ERS021914,6949_1#5
SMRU2406,ERS021915,6949_1#6
SMRU2407,ERS021916,6949_1#7
SMRU2408,ERS021917,6949_1#8
SMRU2410,ERS021919,6949_1#10
SMRU2412,ERS021921,6949_1#12
SMRU2413,ERS021922,6949_1#13
SMRU2414,ERS021923,6949_1#14
SMRU2415,ERS021924,6949_1#15
SMRU2417,ERS021926,6949_1#17
SMRU2418,ERS021928,6949_1#18
SMRU2419,ERS021929,6949_1#19
SMRU2420,ERS021930,6949_1#20
SMRU2421,ERS021931,6949_1#21
SMRU2422,ERS021932,6949_1#22
SMRU2423,ERS021933,6949_1#23
SMRU2424,ERS021934,6949_1#24
SMRU2425,ERS021935,6949_2#1
SMRU2426,ERS021936,6949_2#2
SMRU2427,ERS021937,6949_2#3
SMRU2428,ERS021938,6949_2#4
SMRU2431,ERS021941,6949_2#7
SMRU2432,ERS021942,6949_2#8
SMRU2433,ERS021943,6949_2#9
SMRU2435,ERS021945,6949_2#11
SMRU2436,ERS021946,6949_2#12
SMRU2437,ERS021947,6949_2#13
SMRU2439,ERS021949,6949_2#15
SMRU2440,ERS021950,6949_2#16
SMRU2441,ERS021951,6949_2#17
SMRU2442,ERS021952,6949_2#18
SMRU2444,ERS021954,6949_2#20
SMRU2445,ERS021955,6949_2#21
SMRU2446,ERS021956,6949_2#22
SMRU2447,ERS021957,6949_2#23
SMRU2448,ERS021958,6949_2#24
SMRU2449,ERS021959,6949_3#1
SMRU2450,ERS021960,6949_3#2
SMRU2452,ERS021962,6949_3#4
SMRU2454,ERS021964,6949_3#6
SMRU2455,ERS021965,6949_3#7
SMRU2457,ERS021967,6949_3#9
SMRU2458,ERS021968,6949_3#10
SMRU2459,ERS021969,6949_3#11
SMRU2461,ERS021971,6949_3#13
SMRU2462,ERS021972,6949_3#14
SMRU2463,ERS021973,6949_3#15
SMRU2464,ERS021974,6949_3#16
SMRU2465,ERS021975,6949_3#17
SMRU2466,ERS021976,6949_3#18
SMRU2467,ERS021977,6949_3#19
SMRU2468,ERS021978,6949_3#20
SMRU2469,ERS021979,6949_3#21
SMRU2470,ERS021980,6949_3#22
SMRU2471,ERS021981,6949_3#23
SMRU2472,ERS021982,6949_3#24
SMRU2473,ERS021983,6949_4#1
SMRU2474,ERS021984,6949_4#2
SMRU2475,ERS021985,6949_4#3
SMRU2476,ERS021986,6949_4#4
SMRU2477,ERS021987,6949_4#5
SMRU2478,ERS021988,6949_4#6
SMRU2479,ERS021989,6949_4#7
SMRU2480,ERS021990,6949_4#8
SMRU2481,ERS021991,6949_4#9
SMRU2482,ERS021992,6949_4#10
SMRU2484,ERS021994,6949_4#12
SMRU2488,ERS021998,6949_4#16
SMRU2489,ERS021999,6949_4#17
