sample,accession,lane
SMRU335,ERS019493,6631_1#23
SMRU337,ERS019495,6631_2#1
SMRU338,ERS019496,6631_2#2
SMRU339,ERS019497,6631_2#3
SMRU340,ERS019498,6631_2#4
SMRU342,ERS019500,6631_2#6
SMRU343,ERS019501,6631_2#7
SMRU344,ERS019502,6631_2#8
SMRU345,ERS019503,6631_2#9
SMRU346,ERS019504,6631_2#10
SMRU347,ERS019505,6631_2#11
SMRU348,ERS019506,6631_2#12
SMRU349,ERS019507,6631_2#13
SMRU350,ERS019508,6631_2#14
SMRU351,ERS019509,6631_2#15
SMRU352,ERS019510,6631_2#16
SMRU353,ERS019511,6631_2#17
SMRU354,ERS019512,6631_2#18
SMRU355,ERS019513,6631_2#19
SMRU357,ERS019515,6631_2#21
SMRU358,ERS019516,6631_2#22
SMRU359,ERS019517,6631_2#23
SMRU360,ERS019518,6631_2#24
SMRU409,ERS019567,6631_3#1
SMRU410,ERS019568,6631_3#2
SMRU411,ERS019569,6631_3#3
SMRU412,ERS019570,6631_3#4
SMRU413,ERS019571,6631_3#5
SMRU414,ERS019572,6631_3#6
SMRU415,ERS019573,6631_3#7
SMRU416,ERS019574,6631_3#8
SMRU417,ERS019575,6631_3#9
SMRU418,ERS019576,6631_3#10
SMRU419,ERS019577,6631_3#11
SMRU420,ERS019578,6631_3#12
SMRU421,ERS019579,6631_3#13
SMRU422,ERS019580,6631_3#14
SMRU423,ERS019581,6631_3#15
SMRU424,ERS019582,6631_3#16
SMRU425,ERS019583,6631_3#17
SMRU426,ERS019584,6631_3#18
SMRU427,ERS019585,6631_3#19
SMRU428,ERS019586,6631_3#20
SMRU429,ERS019587,6631_3#21
SMRU430,ERS019588,6631_3#22
SMRU431,ERS019589,6631_3#23
SMRU432,ERS019590,6631_3#24
SMRU434,ERS019592,6631_4#2
SMRU435,ERS019593,6631_4#3
SMRU436,ERS019594,6631_4#4
SMRU437,ERS019595,6631_4#5
SMRU438,ERS019596,6631_4#6
SMRU439,ERS019597,6631_4#7
SMRU440,ERS019598,6631_4#8
SMRU441,ERS019599,6631_4#9
SMRU442,ERS019600,6631_4#10
SMRU443,ERS019601,6631_4#11
SMRU445,ERS019603,6631_4#13
SMRU446,ERS019604,6631_4#14
SMRU447,ERS019605,6631_4#15
SMRU448,ERS019606,6631_4#16
SMRU449,ERS019607,6631_4#17
SMRU450,ERS019608,6631_4#18
SMRU451,ERS019609,6631_4#19
SMRU452,ERS019610,6631_4#20
SMRU453,ERS019611,6631_4#21
SMRU454,ERS019612,6631_4#22
SMRU455,ERS019613,6631_4#23
SMRU456,ERS019614,6631_4#24
SMRU457,ERS019615,6631_5#1
SMRU458,ERS019616,6631_5#2
SMRU459,ERS019617,6631_5#3
SMRU460,ERS019618,6631_5#4
SMRU461,ERS019619,6631_5#5
SMRU462,ERS019620,6631_5#6
SMRU464,ERS019622,6631_5#8
SMRU465,ERS019623,6631_5#9
SMRU466,ERS019624,6631_5#10
SMRU467,ERS019625,6631_5#11
SMRU468,ERS019626,6631_5#12
SMRU469,ERS019627,6631_5#13
SMRU470,ERS019628,6631_5#14
SMRU471,ERS019629,6631_5#15
SMRU472,ERS019630,6631_5#16
SMRU473,ERS019631,6631_5#17
SMRU474,ERS019632,6631_5#18
SMRU475,ERS019633,6631_5#19
SMRU476,ERS019634,6631_5#20
SMRU477,ERS019635,6631_5#21
SMRU478,ERS019636,6631_5#22
SMRU480,ERS019638,6631_5#24
SMRU481,ERS019639,6631_6#1
SMRU482,ERS019640,6631_6#2
SMRU483,ERS019641,6631_6#3
SMRU484,ERS019642,6631_6#4
SMRU485,ERS019643,6631_6#5
SMRU487,ERS019645,6631_6#7
SMRU488,ERS019646,6631_6#8
SMRU489,ERS019647,6631_6#9
SMRU490,ERS019648,6631_6#10
SMRU491,ERS019649,6631_6#11
SMRU493,ERS019651,6631_6#13
SMRU494,ERS019652,6631_6#14
SMRU495,ERS019653,6631_6#15
SMRU496,ERS019654,6631_6#16
SMRU498,ERS019656,6631_6#18
SMRU499,ERS019657,6631_6#19
SMRU500,ERS019658,6631_6#20
SMRU501,ERS019659,6631_6#21
SMRU502,ERS019660,6631_6#22
SMRU504,ERS019662,6631_6#24
SMRU505,ERS019663,6631_7#1
SMRU506,ERS019664,6631_7#2
SMRU507,ERS019665,6631_7#3
SMRU509,ERS019667,6631_7#5
SMRU511,ERS019669,6631_7#7
SMRU512,ERS019670,6631_7#8
SMRU513,ERS019671,6631_7#9
SMRU514,ERS019672,6631_7#10
SMRU515,ERS019673,6631_7#11
SMRU516,ERS019674,6631_7#12
SMRU517,ERS019675,6631_7#13
SMRU518,ERS019676,6631_7#14
SMRU519,ERS019677,6631_7#15
SMRU521,ERS019679,6631_7#17
SMRU522,ERS019680,6631_7#18
SMRU523,ERS019681,6631_7#19
SMRU524,ERS019682,6631_7#20
SMRU525,ERS019683,6631_7#21
SMRU526,ERS019684,6631_7#22
SMRU527,ERS019685,6631_7#23
SMRU528,ERS019686,6631_7#24
SMRU145,ERS019303,6641_6#1
SMRU146,ERS019304,6641_6#2
SMRU147,ERS019305,6641_6#3
SMRU148,ERS019306,6641_6#4
SMRU149,ERS019307,6641_6#5
SMRU150,ERS019308,6641_6#6
SMRU151,ERS019309,6641_6#7
SMRU152,ERS019310,6641_6#8
SMRU153,ERS019311,6641_6#9
SMRU154,ERS019312,6641_6#10
SMRU155,ERS019313,6641_6#11
SMRU156,ERS019314,6641_6#12
SMRU157,ERS019315,6641_6#13
SMRU159,ERS019317,6641_6#15
SMRU160,ERS019318,6641_6#16
SMRU161,ERS019319,6641_6#17
SMRU162,ERS019320,6641_6#18
SMRU163,ERS019321,6641_6#19
SMRU164,ERS019322,6641_6#20
SMRU165,ERS019323,6641_6#21
SMRU166,ERS019324,6641_6#22
SMRU167,ERS019325,6641_6#23
SMRU541,ERS019699,6649_7#13
SMRU542,ERS019700,6649_7#14
SMRU543,ERS019701,6649_7#15
SMRU544,ERS019702,6649_7#16
SMRU545,ERS019703,6649_7#17
SMRU546,ERS019704,6649_7#18
SMRU169,ERS019327,6649_8#1
SMRU170,ERS019328,6649_8#2
SMRU171,ERS019329,6649_8#3
SMRU172,ERS019330,6649_8#4
SMRU173,ERS019331,6649_8#5
SMRU174,ERS019332,6649_8#6
SMRU175,ERS019333,6649_8#7
SMRU176,ERS019334,6649_8#8
SMRU177,ERS019335,6649_8#9
SMRU178,ERS019336,6649_8#10
SMRU179,ERS019337,6649_8#11
SMRU180,ERS019338,6649_8#12
SMRU181,ERS019339,6649_8#13
SMRU182,ERS019340,6649_8#14
SMRU183,ERS019341,6649_8#15
SMRU184,ERS019342,6649_8#16
SMRU185,ERS019343,6649_8#17
SMRU186,ERS019344,6649_8#18
SMRU187,ERS019345,6649_8#19
SMRU188,ERS019346,6649_8#20
SMRU189,ERS019347,6649_8#21
SMRU190,ERS019348,6649_8#22
SMRU191,ERS019349,6649_8#23
SMRU192,ERS019350,6649_8#24
SMRU217,ERS019375,6664_1#1
SMRU218,ERS019376,6664_1#2
SMRU219,ERS019377,6664_1#3
SMRU220,ERS019378,6664_1#4
SMRU221,ERS019379,6664_1#5
SMRU222,ERS019380,6664_1#6
SMRU223,ERS019381,6664_1#7
SMRU224,ERS019382,6664_1#8
